rank,artist_names,track_name,release_date,streams,week,danceability,energy,valence,country,region,language,streams_millions,year,month,day_of_week,week_number,success_score,music_profile,season,rank_group
1,Raí Saia Rodada,Tapão Na Raba,2021-01-22,5862696,2021-03-04,0.8079999999999999,0.7959999999999999,0.799,Brazil,South America,Portuguese,5.86,2021,3,3,9,385.1414883475588,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
5,Hugo & Guilherme,Coração Na Cama - Ao Vivo,2020-11-13,4529027,2021-03-04,0.764,0.794,0.721,Brazil,South America,Portuguese,4.53,2021,3,3,9,335.19681184471176,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
7,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,2020-03-26,4032096,2021-03-04,0.695,0.872,0.6459999999999999,Brazil,South America,Portuguese,4.03,2021,3,3,9,313.3914769176597,⚡ Energética,🌸 Primavera,🏆 Top 10
8,Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),2020-12-17,3822960,2021-03-04,0.7090000000000001,0.816,0.921,Brazil,South America,Portuguese,3.82,2021,3,3,9,303.5453681160642,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
9,Israel & Rodolffo,Batom de Cereja - Ao Vivo,2021-01-29,3741572,2021-03-04,0.606,0.908,0.7979999999999999,Brazil,South America,Portuguese,3.74,2021,3,3,9,298.75913005574114,⚡ Energética,🌸 Primavera,🏆 Top 10
11,Jorge & Mateus,Lance Individual,2020-11-13,3574684,2021-03-04,0.752,0.62,0.962,Brazil,South America,Portuguese,3.57,2021,3,3,9,288.70750893216155,💃 Dançante,🌸 Primavera,📊 Top 11-50
12,Os Barões Da Pisadinha,Recairei - Ao Vivo,2020-10-15,3413578,2021-03-04,0.5820000000000001,0.937,0.939,Brazil,South America,Portuguese,3.41,2021,3,3,9,280.4523163077046,⚡ Energética,🌸 Primavera,📊 Top 11-50
14,Marília Mendonça,Troca de Calçada,2021-01-29,3156256,2021-03-04,0.659,0.6890000000000001,0.701,Brazil,South America,Portuguese,3.16,2021,3,3,9,266.57131888908316,😊 Feliz/Positiva,🌸 Primavera,📊 Top 11-50
17,Simone & Simaria,Foi Pá Pum,2020-11-20,3014425,2021-03-04,0.627,0.818,0.449,Brazil,South America,Portuguese,3.01,2021,3,3,9,255.5375884025999,⚡ Energética,🌸 Primavera,📊 Top 11-50
18,Guilherme & Benuto,Pulei na Piscina - Ao Vivo,2020-08-21,2814372,2021-03-04,0.652,0.773,0.527,Brazil,South America,Portuguese,2.81,2021,3,3,9,244.78614161236555,⚡ Energética,🌸 Primavera,📊 Top 11-50
21,Vitor Fernandes,Acaso,2020-07-28,2743069,2021-03-04,0.599,0.882,0.542,Brazil,South America,Portuguese,2.74,2021,3,3,9,237.4354100567593,⚡ Energética,🌸 Primavera,📊 Top 11-50
23,Matheus & Kauan,É Problema,2021-01-26,2431212,2021-03-04,0.626,0.7759999999999999,0.696,Brazil,South America,Portuguese,2.43,2021,3,3,9,219.39572648965705,⚡ Energética,🌸 Primavera,📊 Top 11-50
24,MC Hariel,Maçã Verde,2020-10-09,2426519,2021-03-04,0.5820000000000001,0.531,0.1689999999999999,Brazil,South America,Portuguese,2.43,2021,3,3,9,218.16316622847918,😢 Melancólica/Triste,🌸 Primavera,📊 Top 11-50
26,Jonas Esticado,Investe Em Mim,2019-12-13,2354801,2021-03-04,0.632,0.953,0.7979999999999999,Brazil,South America,Portuguese,2.35,2021,3,3,9,211.56806052147064,⚡ Energética,🌸 Primavera,📊 Top 11-50
30,Jorge & Mateus,Paradigmas,2021-01-22,2158899,2021-03-04,0.6859999999999999,0.789,0.8220000000000001,Brazil,South America,Portuguese,2.16,2021,3,3,9,196.74781671939834,⚡ Energética,🌸 Primavera,📊 Top 11-50
31,Os Barões Da Pisadinha,Esquema Preferido - Ao Vivo,2021-01-22,2093730,2021-03-04,0.62,0.943,0.968,Brazil,South America,Portuguese,2.09,2021,3,3,9,191.7890854546412,⚡ Energética,🌸 Primavera,📊 Top 11-50
32,Gusttavo Lima,Espetinho - Ao Vivo,2021-02-04,2072654,2021-03-04,0.8270000000000001,0.926,0.949,Brazil,South America,Portuguese,2.07,2021,3,3,9,189.56350791024886,🔥 Música para Balada,🌸 Primavera,📊 Top 11-50
33,Hungria Hip Hop,Amor e Fé - Acústico,2020-08-21,2031073,2021-03-04,0.632,0.6970000000000001,0.8370000000000001,Brazil,South America,Portuguese,2.03,2021,3,3,9,186.23852007957464,😊 Feliz/Positiva,🌸 Primavera,📊 Top 11-50
37,Gusttavo Lima,Fala Comigo - Ao Vivo,2021-02-04,1899586,2021-03-04,0.818,0.919,0.949,Brazil,South America,Portuguese,1.9,2021,3,3,9,174.61256086675823,🔥 Música para Balada,🌸 Primavera,📊 Top 11-50
41,The Weeknd,Blinding Lights,2020-03-20,1777707,2021-03-04,0.514,0.73,0.3339999999999999,Brazil,South America,Portuguese,1.78,2021,3,3,9,163.59214843240733,⚡ Energética,🌸 Primavera,📊 Top 11-50
44,Os Barões Da Pisadinha,Tá Rocheda,2019-09-26,1750224,2021-03-04,0.775,0.8859999999999999,0.939,Brazil,South America,Portuguese,1.75,2021,3,3,9,158.82134313352134,🔥 Música para Balada,🌸 Primavera,📊 Top 11-50
48,Zé Vaqueiro,Letícia,2020-10-01,1675779,2021-03-04,0.615,0.907,0.725,Brazil,South America,Portuguese,1.68,2021,3,3,9,150.8299695619831,⚡ Energética,🌸 Primavera,📊 Top 11-50
49,Olivia Rodrigo,drivers license,2021-01-08,1658437,2021-03-04,0.585,0.436,0.132,Brazil,South America,Portuguese,1.66,2021,3,3,9,148.70557066462837,😢 Melancólica/Triste,🌸 Primavera,📊 Top 11-50
50,MC Zaquin,Ô Moça,2020-12-21,1585507,2021-03-04,0.84,0.495,0.527,Brazil,South America,Portuguese,1.59,2021,3,3,9,143.7003392324284,💃 Dançante,🌸 Primavera,📊 Top 11-50
52,LUDMILLA,Rainha da Favela,2020-11-12,1471787,2021-03-04,0.867,0.67,0.8909999999999999,Brazil,South America,Portuguese,1.47,2021,3,3,9,134.728504445343,💃 Dançante,🌸 Primavera,📈 Top 51-100
53,Zé Vaqueiro,Eu Tenho Medo,2020-10-01,1448573,2021-03-04,0.601,0.895,0.3720000000000001,Brazil,South America,Portuguese,1.45,2021,3,3,9,132.62102763438207,⚡ Energética,🌸 Primavera,📈 Top 51-100
55,Gusttavo Lima,De Menina pra Mulher - Ao Vivo,2021-02-04,1441325,2021-03-04,0.83,0.92,0.967,Brazil,South America,Portuguese,1.44,2021,3,3,9,130.23171373854612,🔥 Música para Balada,🌸 Primavera,📈 Top 51-100
56,Henrique & Juliano,Volta Por Baixo - Ao Vivo,2020-05-15,1393814,2021-03-04,0.532,0.769,0.4629999999999999,Brazil,South America,Portuguese,1.39,2021,3,3,9,126.33753806179578,⚡ Energética,🌸 Primavera,📈 Top 51-100
58,Zé Felipe,Só Tem Eu,2020-10-09,1375085,2021-03-04,0.797,0.531,0.8690000000000001,Brazil,South America,Portuguese,1.38,2021,3,3,9,123.9953697387238,💃 Dançante,🌸 Primavera,📈 Top 51-100
59,Alok,Alive (It Feels Like),2020-09-11,1347024,2021-03-04,0.66,0.855,0.616,Brazil,South America,Portuguese,1.35,2021,3,3,9,121.3269765981616,⚡ Energética,🌸 Primavera,📈 Top 51-100
62,Jão,Coringa,2021-02-25,1316431,2021-03-04,0.73,0.5660000000000001,0.4970000000000001,Brazil,South America,Portuguese,1.32,2021,3,3,9,116.97783880927238,💃 Dançante,🌸 Primavera,📈 Top 51-100
66,Anderson & Vei da Pisadinha,Elas Gostam de Gasolina - Ao Vivo,2020-09-09,1195184,2021-03-04,0.816,0.809,0.633,Brazil,South America,Portuguese,1.2,2021,3,3,9,106.44174364917647,🔥 Música para Balada,🌸 Primavera,📈 Top 51-100
67,Tierry,Rita,2020-07-17,1176951,2021-03-04,0.512,0.677,0.7759999999999999,Brazil,South America,Portuguese,1.18,2021,3,3,9,104.42953349133367,😊 Feliz/Positiva,🌸 Primavera,📈 Top 51-100
68,Matheus & Kauan,Nem Doeu - Ao Vivo,2020-05-29,1144706,2021-03-04,0.591,0.887,0.659,Brazil,South America,Portuguese,1.14,2021,3,3,9,101.18717526149008,⚡ Energética,🌸 Primavera,📈 Top 51-100
70,Marília Mendonça,Deprê,2020-12-04,1121681,2021-03-04,0.63,0.684,0.667,Brazil,South America,Portuguese,1.12,2021,3,3,9,98.43550761759367,🎵 Neutra/Equilibrada,🌸 Primavera,📈 Top 51-100
71,Henrique & Juliano,Briga Feia - Ao Vivo,2020-05-15,1099395,2021-03-04,0.589,0.846,0.565,Brazil,South America,Portuguese,1.1,2021,3,3,9,96.45185481481906,⚡ Energética,🌸 Primavera,📈 Top 51-100
72,Harry Styles,Watermelon Sugar,2019-12-13,1098808,2021-03-04,0.5479999999999999,0.816,0.557,Brazil,South America,Portuguese,1.1,2021,3,3,9,95.70991747008968,⚡ Energética,🌸 Primavera,📈 Top 51-100
75,Ariana Grande,positions,2020-10-30,1090905,2021-03-04,0.737,0.802,0.682,Brazil,South America,Portuguese,1.09,2021,3,3,9,92.88267231306668,🔥 Música para Balada,🌸 Primavera,📈 Top 51-100
76,Tiësto,The Business,2020-09-16,1079266,2021-03-04,0.7979999999999999,0.62,0.235,Brazil,South America,Portuguese,1.08,2021,3,3,9,91.54598671415333,💃 Dançante,🌸 Primavera,📈 Top 51-100
77,Luíza & Maurílio,Pode Sumir,2020-12-04,1078518,2021-03-04,0.7170000000000001,0.7170000000000001,0.628,Brazil,South America,Portuguese,1.08,2021,3,3,9,90.8136188204401,🔥 Música para Balada,🌸 Primavera,📈 Top 51-100
79,Matuê,777-666,2020-09-10,1055315,2021-03-04,0.544,0.802,0.322,Brazil,South America,Portuguese,1.06,2021,3,3,9,88.17012990178175,⚡ Energética,🌸 Primavera,📈 Top 51-100
80,Niack,Oh Juliana,2020-06-30,1053508,2021-03-04,0.799,0.568,0.963,Brazil,South America,Portuguese,1.05,2021,3,3,9,86.85861497118835,💃 Dançante,🌸 Primavera,📈 Top 51-100
82,Gustavo Mioto,Despedida De Casal,2020-11-19,1023936,2021-03-04,0.925,0.35,0.691,Brazil,South America,Portuguese,1.02,2021,3,3,9,83.6686038581605,💃 Dançante,🌸 Primavera,📈 Top 51-100
84,Grupo Menos É Mais,Adorei,2020-10-29,1019055,2021-03-04,0.746,0.6679999999999999,0.7979999999999999,Brazil,South America,Portuguese,1.02,2021,3,3,9,82.26240883533427,💃 Dançante,🌸 Primavera,📈 Top 51-100
86,Douglas & Vinicius,Volume 3,2020-11-20,988557,2021-03-04,0.6709999999999999,0.856,0.696,Brazil,South America,Portuguese,0.99,2021,3,3,9,79.13548345468611,⚡ Energética,🌸 Primavera,📈 Top 51-100
87,Zé Neto & Cristiano,Esses Vícios,2020-11-20,983968,2021-03-04,0.594,0.597,0.804,Brazil,South America,Portuguese,0.98,2021,3,3,9,77.8730402965346,😊 Feliz/Positiva,🌸 Primavera,📈 Top 51-100
89,The Weeknd,Save Your Tears,2020-03-20,977776,2021-03-04,0.68,0.826,0.644,Brazil,South America,Portuguese,0.98,2021,3,3,9,76.5068466071217,⚡ Energética,🌸 Primavera,📈 Top 51-100
91,Dua Lipa,Don't Start Now,2020-03-27,940621,2021-03-04,0.7929999999999999,0.7929999999999999,0.679,Brazil,South America,Portuguese,0.94,2021,3,3,9,72.89567703827605,🔥 Música para Balada,🌸 Primavera,📈 Top 51-100
94,Matuê,Máquina do Tempo,2020-09-10,917096,2021-03-04,0.629,0.727,0.132,Brazil,South America,Portuguese,0.92,2021,3,3,9,69.79879490624685,⚡ Energética,🌸 Primavera,📈 Top 51-100
101,Mc Frog,Golpe Trocado,2020-11-27,871795,2021-03-04,0.716,0.597,0.7290000000000001,Brazil,South America,Portuguese,0.87,2021,3,3,9,62.59384308664953,💃 Dançante,🌸 Primavera,📉 Top 101-200
102,Di Propósito,Manda Áudio,2019-05-30,871387,2021-03-04,0.63,0.63,0.942,Brazil,South America,Portuguese,0.87,2021,3,3,9,61.96790465578303,😊 Feliz/Positiva,🌸 Primavera,📉 Top 101-200
103,Lauana Prado,Viva Voz - Ao Vivo Em São Paulo / 2019,2019-12-06,866560,2021-03-04,0.741,0.848,0.885,Brazil,South America,Portuguese,0.87,2021,3,3,9,61.34196622491653,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
107,MC Rogerinho,Só Você,2020-04-23,860223,2021-03-04,0.8340000000000001,0.522,0.892,Brazil,South America,Portuguese,0.86,2021,3,3,9,58.33418984616033,💃 Dançante,🌸 Primavera,📉 Top 101-200
108,Japinha Conde,Romance Desapegado,2020-08-12,854228,2021-03-04,0.7490000000000001,0.74,0.611,Brazil,South America,Portuguese,0.85,2021,3,3,9,57.21226443539172,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
109,Zé Vaqueiro,Cangote,2020-10-01,849521,2021-03-04,0.537,0.923,0.655,Brazil,South America,Portuguese,0.85,2021,3,3,9,56.59707879630148,⚡ Energética,🌸 Primavera,📉 Top 101-200
110,Kali Uchis,telepatía,2020-12-04,841516,2021-03-04,0.653,0.524,0.5529999999999999,Brazil,South America,Portuguese,0.84,2021,3,3,9,55.48866701750138,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
111,Doja Cat,Streets,2019-11-07,840210,2021-03-04,0.7490000000000001,0.4629999999999999,0.1889999999999999,Brazil,South America,Portuguese,0.84,2021,3,3,9,54.87890144588049,💃 Dançante,🌸 Primavera,📉 Top 101-200
115,Israell Muniz,Eu Vou Tirar Você Do Cabaré,2020-12-19,820077,2021-03-04,0.7509999999999999,0.815,0.851,Brazil,South America,Portuguese,0.82,2021,3,3,9,51.49993909362855,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
116,"Mc Rennan, DJ Braga Oficial",Cai de vagarinho até embaixo,2020-10-14,811461,2021-03-04,0.939,0.544,0.9,Brazil,South America,Portuguese,0.81,2021,3,3,9,50.43278184860742,💃 Dançante,🌸 Primavera,📉 Top 101-200
117,Os Barões Da Pisadinha,Meia Noite (Ce Tem Meu Whatsapp) - Ao Vivo,2021-01-22,802881,2021-03-04,0.6579999999999999,0.937,0.96,Brazil,South America,Portuguese,0.8,2021,3,3,9,49.374079851778,⚡ Energética,🌸 Primavera,📉 Top 101-200
118,GIULIA BE,menina solta,2019-08-23,797463,2021-03-04,0.632,0.5589999999999999,0.674,Brazil,South America,Portuguese,0.8,2021,3,3,9,48.78629318687588,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
119,Jorge & Mateus,Ranking,2020-03-06,793468,2021-03-04,0.6659999999999999,0.846,0.782,Brazil,South America,Portuguese,0.79,2021,3,3,9,47.74168082791842,⚡ Energética,🌸 Primavera,📉 Top 101-200
121,Gusttavo Lima,Café e Amor - Ao Vivo,2021-02-04,790400,2021-03-04,0.611,0.721,0.41,Brazil,South America,Portuguese,0.79,2021,3,3,9,46.57724958821309,⚡ Energética,🌸 Primavera,📉 Top 101-200
122,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,2020-05-15,789903,2021-03-04,0.675,0.685,0.7,Brazil,South America,Portuguese,0.79,2021,3,3,9,45.99503396836043,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
128,Mc Jacaré,Comprei um Lança,2020-04-07,745044,2021-03-04,0.652,0.723,0.53,Brazil,South America,Portuguese,0.75,2021,3,3,9,40.85195251928585,⚡ Energética,🌸 Primavera,📉 Top 101-200
132,Lewis Capaldi,Someone You Loved,2019-05-17,739328,2021-03-04,0.501,0.405,0.446,Brazil,South America,Portuguese,0.74,2021,3,3,9,38.21807281262419,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
137,Vitor Fernandes,Vou falar que não quero,2021-02-04,727903,2021-03-04,0.665,0.705,0.597,Brazil,South America,Portuguese,0.73,2021,3,3,9,35.07977014462001,⚡ Energética,🌸 Primavera,📉 Top 101-200
138,Zé Vaqueiro,Meia Noite,2020-11-25,725053,2021-03-04,0.767,0.865,0.958,Brazil,South America,Portuguese,0.73,2021,3,3,9,34.53164873611032,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
141,Matuê,Kenny G,2019-09-04,720146,2021-03-04,0.417,0.767,0.152,Brazil,South America,Portuguese,0.72,2021,3,3,9,32.5394574495217,⚡ Energética,🌸 Primavera,📉 Top 101-200
142,BTS,Dynamite,2020-11-20,719324,2021-03-04,0.746,0.765,0.737,Brazil,South America,Portuguese,0.72,2021,3,3,9,31.997133158696336,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
143,Masked Wolf,Astronaut In The Ocean,2019-06-07,718667,2021-03-04,0.778,0.695,0.472,Brazil,South America,Portuguese,0.72,2021,3,3,9,31.454808867870973,💃 Dançante,🌸 Primavera,📉 Top 101-200
144,Marília Mendonça,Foi por Conveniência,2021-01-15,716404,2021-03-04,0.506,0.616,0.511,Brazil,South America,Portuguese,0.72,2021,3,3,9,30.91248457704561,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
145,Luíza & Maurílio,Razão das Minhas Biritas,2020-12-04,708992,2021-03-04,0.657,0.687,0.6920000000000001,Brazil,South America,Portuguese,0.71,2021,3,3,9,30.043628748815834,🎵 Neutra/Equilibrada,🌸 Primavera,📉 Top 101-200
146,Melim,Meu Abrigo,2018-06-08,704870,2021-03-04,0.6579999999999999,0.5720000000000001,0.741,Brazil,South America,Portuguese,0.7,2021,3,3,9,29.18455380841937,😊 Feliz/Positiva,🌸 Primavera,📉 Top 101-200
154,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,2020-03-26,680159,2021-03-04,0.3939999999999999,0.918,0.588,Brazil,South America,Portuguese,0.68,2021,3,3,9,24.38330829051288,⚡ Energética,🌸 Primavera,📉 Top 101-200
156,Tones And I,Dance Monkey,2019-05-10,676823,2021-03-04,0.826,0.593,0.541,Brazil,South America,Portuguese,0.68,2021,3,3,9,23.34572070368254,💃 Dançante,🌸 Primavera,📉 Top 101-200
161,Matheus & Kauan,Então Toma - Ao Vivo,2020-05-29,656888,2021-03-04,0.643,0.8270000000000001,0.769,Brazil,South America,Portuguese,0.66,2021,3,3,9,20.272704094738074,⚡ Energética,🌸 Primavera,📉 Top 101-200
163,Marília Mendonça,Graveto - Ao Vivo,2020-01-10,648309,2021-03-04,0.7140000000000001,0.632,0.402,Brazil,South America,Portuguese,0.65,2021,3,3,9,19.029460940674593,💃 Dançante,🌸 Primavera,📉 Top 101-200
164,Ariana Grande,34+35,2020-10-30,648057,2021-03-04,0.83,0.585,0.485,Brazil,South America,Portuguese,0.65,2021,3,3,9,18.528685652762103,💃 Dançante,🌸 Primavera,📉 Top 101-200
166,Luísa Sonza,BRABA,2020-03-18,642502,2021-03-04,0.8109999999999999,0.6890000000000001,0.6629999999999999,Brazil,South America,Portuguese,0.64,2021,3,3,9,17.314368464263747,💃 Dançante,🌸 Primavera,📉 Top 101-200
167,Tarcísio do Acordeon,Hoje Dói,2020-12-17,642243,2021-03-04,0.696,0.684,0.929,Brazil,South America,Portuguese,0.64,2021,3,3,9,16.81967222242764,😊 Feliz/Positiva,🌸 Primavera,📉 Top 101-200
168,Mc Jacaré,Senta no Fazendeiro,2019-07-01,641344,2021-03-04,0.727,0.601,0.723,Brazil,South America,Portuguese,0.64,2021,3,3,9,16.32497598059153,💃 Dançante,🌸 Primavera,📉 Top 101-200
169,Matuê,É Sal,2020-09-10,638221,2021-03-04,0.708,0.7340000000000001,0.4589999999999999,Brazil,South America,Portuguese,0.64,2021,3,3,9,15.830279738755426,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
174,GIULIA BE,se essa vida fosse um filme,2020-03-27,621382,2021-03-04,0.505,0.544,0.753,Brazil,South America,Portuguese,0.62,2021,3,3,9,13.025506029595903,😊 Feliz/Positiva,🌸 Primavera,📉 Top 101-200
175,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,2020-05-29,619359,2021-03-04,0.48,0.807,0.536,Brazil,South America,Portuguese,0.62,2021,3,3,9,12.54307988035161,⚡ Energética,🌸 Primavera,📉 Top 101-200
181,Diego & Victor Hugo,Buzina - Ao Vivo,2021-01-22,608618,2021-03-04,0.479,0.889,0.735,Brazil,South America,Portuguese,0.61,2021,3,3,9,9.524683579927432,⚡ Energética,🌸 Primavera,📉 Top 101-200
182,Lauana Prado,Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019,2020-11-13,607622,2021-03-04,0.701,0.753,0.7020000000000001,Brazil,South America,Portuguese,0.61,2021,3,3,9,9.04844940093106,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
183,Zé Vaqueiro,Meu Mel,2020-10-01,605559,2021-03-04,0.5660000000000001,0.873,0.542,Brazil,South America,Portuguese,0.61,2021,3,3,9,8.57221522193469,⚡ Energética,🌸 Primavera,📉 Top 101-200
185,Legião Urbana,Tempo Perdido,1986-01-01,597571,2021-03-04,0.293,0.662,0.221,Brazil,South America,Portuguese,0.6,2021,3,3,9,7.520058067931769,😢 Melancólica/Triste,🌸 Primavera,📉 Top 101-200
186,MC Marks,Deus é por nós,2020-05-08,596875,2021-03-04,0.782,0.475,0.441,Brazil,South America,Portuguese,0.6,2021,3,3,9,7.0500544386860335,💃 Dançante,🌸 Primavera,📉 Top 101-200
187,Hippie Sabotage,Devil Eyes,2016-02-05,591097,2021-03-04,0.391,0.396,0.1989999999999999,Brazil,South America,Portuguese,0.59,2021,3,3,9,6.492276227249962,😢 Melancólica/Triste,🌸 Primavera,📉 Top 101-200
188,Gusttavo Lima,Balada do Buteco - Ao Vivo,2021-02-04,590796,2021-03-04,0.823,0.934,0.967,Brazil,South America,Portuguese,0.59,2021,3,3,9,6.028542211017822,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
189,Jorge & Mateus,Cheirosa - Ao Vivo,2019-10-11,590369,2021-03-04,0.528,0.87,0.7140000000000001,Brazil,South America,Portuguese,0.59,2021,3,3,9,5.564808194785682,⚡ Energética,🌸 Primavera,📉 Top 101-200
192,Wesley Safadão,Não Valeu,2020-05-15,582540,2021-03-04,0.8029999999999999,0.841,0.8320000000000001,Brazil,South America,Portuguese,0.58,2021,3,3,9,4.1168236233498785,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
193,MC Yuri,Vai Tomando Foguenta,2020-12-02,580794,2021-03-04,0.8690000000000001,0.89,0.601,Brazil,South America,Portuguese,0.58,2021,3,3,9,3.6593987763110034,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
195,Billie Eilish,Therefore I Am,2020-11-12,574376,2021-03-04,0.889,0.34,0.716,Brazil,South America,Portuguese,0.57,2021,3,3,9,2.7064537161613,💃 Dançante,🌸 Primavera,📉 Top 101-200
196,Yasmin Santos,Cuidado Que Eu Te Supero,2020-07-30,573765,2021-03-04,0.67,0.8190000000000001,0.763,Brazil,South America,Portuguese,0.57,2021,3,3,9,2.2553780968010835,⚡ Energética,🌸 Primavera,📉 Top 101-200
197,The Neighbourhood,Sweater Weather,2013-04-19,572449,2021-03-04,0.612,0.807,0.3979999999999999,Brazil,South America,Portuguese,0.57,2021,3,3,9,1.8043024774408667,⚡ Energética,🌸 Primavera,📉 Top 101-200
200,Dua Lipa,Break My Heart,2020-03-27,567190,2021-03-04,0.73,0.7290000000000001,0.467,Brazil,South America,Portuguese,0.57,2021,3,3,9,0.4510756193602167,🔥 Música para Balada,🌸 Primavera,📉 Top 101-200
5,Zé Felipe,Malvada,2022-01-28,5662042,2022-03-24,0.894,0.8590000000000001,0.888,Brazil,South America,Portuguese,5.66,2022,3,3,12,371.6394189722504,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
7,Luan Santana,ABALO EMOCIONAL - Ao Vivo,2022-02-03,5110899,2022-03-24,0.441,0.915,0.726,Brazil,South America,Portuguese,5.11,2022,3,3,12,351.12579399759977,⚡ Energética,🌸 Primavera,🏆 Top 10
9,Gusttavo Lima,Bloqueado - Ao Vivo,2021-12-16,4566614,2022-03-24,0.828,0.721,0.6509999999999999,Brazil,South America,Portuguese,4.57,2022,3,3,12,329.739850356325,🔥 Música para Balada,🌸 Primavera,🏆 Top 10
10,MC Rogerinho,Botadinha Saliente,2022-01-28,4438104,2022-03-24,0.985,0.698,0.914,Brazil,South America,Portuguese,4.44,2022,3,3,12,323.51180062575963,💃 Dançante,🌸 Primavera,🏆 Top 10
11,Gloria Groove,VERMELHO,2022-02-10,4361211,2022-03-24,0.682,0.695,0.728,Brazil,South America,Portuguese,4.36,2022,3,3,12,319.003155265715,😊 Feliz/Positiva,🌸 Primavera,📊 Top 11-50
13,Jorge & Mateus,Molhando o Volante,2021-12-10,4158869,2022-03-24,0.772,0.647,0.8009999999999999,Brazil,South America,Portuguese,4.16,2022,3,3,12,308.4960769447726,💃 Dançante,🌸 Primavera,📊 Top 11-50
19,Henrique & Juliano,A Maior Saudade - Ao Vivo,2021-12-10,3392656,2022-03-24,0.292,0.626,0.305,Brazil,South America,Portuguese,3.39,2022,3,3,12,269.2379193298485,🎵 Neutra/Equilibrada,🌸 Primavera,📊 Top 11-50
20,Henrique & Juliano,Arranhão - Ao Vivo,2021-12-10,3317880,2022-03-24,0.486,0.871,0.6629999999999999,Brazil,South America,Portuguese,3.32,2022,3,3,12,264.84922780833944,⚡ Energética,🌸 Primavera,📊 Top 11-50
21,Henrique & Juliano,Acordo - Ao Vivo,2021-12-10,3145344,2022-03-24,0.608,0.82,0.6729999999999999,Brazil,South America,Portuguese,3.15,2022,3,3,12,256.15950016366924,⚡ Energética,🌸 Primavera,📊 Top 11-50
27,Wesley Safadão,Eu Já Tava Bem - Ao Vivo,2022-01-07,2891358,2022-03-24,0.63,0.8440000000000001,0.932,Brazil,South America,Portuguese,2.89,2022,3,3,12,236.36319342768178,⚡ Energética,🌸 Primavera,📊 Top 11-50
28,Matheus & Kauan,Imagina A Sentada - Ao Vivo,2022-03-18,2871927,2022-03-24,0.407,0.927,0.375,Brazil,South America,Portuguese,2.87,2022,3,3,12,234.11302971821243,⚡ Energética,🌸 Primavera,📊 Top 11-50
29,PEDRO SAMPAIO,GALOPA,2022-02-02,2847469,2022-03-24,0.763,0.85,0.77,Brazil,South America,Portuguese,2.85,2022,3,3,12,231.86858150754716,🔥 Música para Balada,🌸 Primavera,📊 Top 11-50
33,Anitta,Boys Don't Cry,2022-01-27,2671220,2022-03-24,0.589,0.8420000000000001,0.657,Brazil,South America,Portuguese,2.67,2022,3,3,12,218.43219922716844,⚡ Energética,🌸 Primavera,📊 Top 11-50
36,Zé Neto & Cristiano,Melhor Ser uma Saudade,2022-01-27,2524850,2022-03-24,0.687,0.589,0.594,Brazil,South America,Portuguese,2.52,2022,3,3,12,207.64606328565097,🎵 Neutra/Equilibrada,🌸 Primavera,📊 Top 11-50
38,Jão,Idiota,2021-10-20,2433632,2022-03-24,0.669,0.785,0.84,Brazil,South America,Portuguese,2.43,2022,3,3,12,200.9073225719893,⚡ Energética,🌸 Primavera,📊 Top 11-50
43,Gusttavo Lima,Não Me Arranha - Ao Vivo,2021-12-16,2239436,2022-03-24,0.851,0.764,0.943,Brazil,South America,Portuguese,2.24,2022,3,3,12,185.74058610906962,🔥 Música para Balada,🌸 Primavera,📊 Top 11-50
47,Zé Neto & Cristiano,Ela e Ela,2021-10-07,1970215,2022-03-24,0.578,0.669,0.53,Brazil,South America,Portuguese,1.97,2022,3,3,12,167.63854073344967,🎵 Neutra/Equilibrada,🌸 Primavera,📊 Top 11-50
50,MC Josh,Novinha Malada do Insta,2021-09-09,1926302,2022-03-24,0.535,0.441,0.63,Brazil,South America,Portuguese,1.93,2022,3,3,12,162.32536587737536,🎵 Neutra/Equilibrada,🌸 Primavera,📊 Top 11-50
